Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 collections.py:769(set_facecolor)
       18    0.000    0.000    0.000    0.000 transforms.py:2576(__init__)
        1    0.000    0.000    0.000    0.000 backend_qt.py:227(showEvent)
        3    0.000    0.000    0.000    0.000 transforms.py:1719(set)
        3    0.000    0.000    0.000    0.000 axis.py:491(_get_text1_transform)
       32    0.000    0.000    0.000    0.000 markers.py:282(_set_fillstyle)
        3    0.000    0.000    0.000    0.000 transforms.py:1381(contains_branch)
        8    0.000    0.000    0.000    0.000 pathlib.py:628(with_name)
        1    0.000    0.000    0.000    0.000 _base.py:819(set_figure)
       94    0.000    0.000    0.000    0.000 enum.py:713(__call__)
       18    0.000    0.000    0.000    0.000 patches.py:738(_convert_units)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.000    0.000 _base.py:1017(get_yaxis_text1_transform)
       38    0.000    0.000    0.000    0.000 font_manager.py:722(set_family)
       14    0.000    0.000    0.000    0.000 transforms.py:2668(__init__)
       19    0.000    0.000    0.000    0.000 lines.py:732(set_transform)
       11    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        4    0.000    0.000    0.000    0.000 spines.py:299(set_position)
       21    0.000    0.000    0.000    0.000 weakref.py:46(__new__)
        1    0.000    0.000    0.000    0.000 deprecation.py:379(wrapper)
      179    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       26    0.000    0.000    0.000    0.000 font_manager.py:736(set_style)
        1    0.000    0.000    0.000    0.000 gridspec.py:144(get_grid_positions)
        2    0.000    0.000    0.000    0.000 transforms.py:930(update_from_data_xy)
       19    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method addToolBar}
        6    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        6    0.000    0.000    0.000    0.000 core.py:1555(make_mask)
        3    0.000    0.000    0.000    0.000 cm.py:613(norm)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 core.py:8253(asanyarray)
       16    0.000    0.000    0.000    0.000 transforms.py:1975(rotate)
        4    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       32    0.000    0.000    0.000    0.000 transforms.py:2030(translate)
        8    0.000    0.000    0.000    0.000 artist.py:1001(set_alpha)
        2    0.000    0.000    0.000    0.000 font_manager.py:1233(findfont)
       17    0.000    0.000    0.000    0.000 base_events.py:812(_call_soon)
        4    0.000    0.000    0.000    0.000 transforms.py:1106(get_points)
       17    0.000    0.000    0.000    0.000 events.py:155(cancel)
       19    0.000    0.000    0.000    0.000 lines.py:1407(set_dash_capstyle)
       26    0.000    0.000    0.000    0.000 font_manager.py:749(set_variant)
      354    0.000    0.000    0.000    0.000 fromnumeric.py:3380(_mean_dispatcher)
      195    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2692(max)
       17    0.000    0.000    0.000    0.000 events.py:111(__init__)
       67    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:465(update_prop)
      369    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      7/4    0.000    0.000    0.000    0.000 transforms.py:2384(__eq__)
       19    0.000    0.000    0.000    0.000 lines.py:1123(set_linewidth)
       34    0.000    0.000    0.000    0.000 events.py:36(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:287(__call__)
       68    0.000    0.000    0.000    0.000 base_events.py:732(time)
       12    0.000    0.000    0.000    0.000 patches.py:329(set_edgecolor)
        8    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
